form_record_id,parent_form_id,parent_field_id,parent_record_id,Sample Type,Sample Barcode,Sample Labels (Add Back in Office),Sample Label
rec-efaa978e40ea4cf48d2a8daa4a0f96f3,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-e9c2294f640742eabf5895d39b8fa453,Tissue,1616,,cl-EV242
rec-938202c613024321b94e280636c33e23,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-e9c2294f640742eabf5895d39b8fa453,Tooth,1615,,cl-EV243
rec-63e69e9401614a968bd4072185a6118c,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-8a6af8993d724af1bc54b4bd99485196,Hair,13467,,cl-EV239
rec-1f50e0d600ec4966aa5ca0f80ff532ea,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-f1750b9e64ea465a914df42d86dc44b1,Hair,14446,,cl-EV235
rec-1503e0907c6642f08e8c6d47a575ea4a,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-f1750b9e64ea465a914df42d86dc44b1,Hair,14674,,cl-EV236
rec-c2ac4d2742574ce7b08103fba18c56fc,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-f1750b9e64ea465a914df42d86dc44b1,Tissue,14447,,cl-EV237
rec-e4b76c87c8044c80a0dd33098207fc0a,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-f1750b9e64ea465a914df42d86dc44b1,Tooth,14448,,cl-EV238
rec-ca55257077b74ed399e0b76c6f3c4e26,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-cc7a32188bde44d69b731c6d724a63aa,Hair,14877,,cl-EV232
rec-b9f2ebf70f44446989ec6da43e6c0654,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-cc7a32188bde44d69b731c6d724a63aa,Hair,14878,,cl-EV233
rec-781b274f03e4476ab79047678d4ed7c9,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-cc7a32188bde44d69b731c6d724a63aa,Tissue,14879,,cl-EV234
rec-7763cbf7b54a44ea989b5aba9fabf65e,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-c89c3a40317b44bda68b63535ffe8320,Hair,14880,,cl-EV228
rec-95c5a65c9d7f4604935e84761d51d293,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-c89c3a40317b44bda68b63535ffe8320,Hair,14881,,cl-EV229
rec-d4d2752cef2c4528a92b25bd4075e69b,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-c89c3a40317b44bda68b63535ffe8320,Tissue,14882,,cl-EV230
rec-9221e0696eeb413db2b4da414bdce2f9,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-c89c3a40317b44bda68b63535ffe8320,Tooth,14883,,cl-EV231
rec-80c596b844fa48d29554100da2b8883e,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-3229286675d242f6bb3836694bca285d,Hair,14890,,cl-EV224
rec-65d189d9a9b94991b7d9e0f1c7a6a8e3,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-3229286675d242f6bb3836694bca285d,Hair,14891,,cl-EV225
rec-607150c9786b44bca51fc01e5382ad4b,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-3229286675d242f6bb3836694bca285d,Tissue,14952,,cl-EV226
rec-5de31064cb404bae9d1e29f974769245,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-3229286675d242f6bb3836694bca285d,Tooth,14953,,cl-EV227
rec-7d1aadf8a41448369f92351f988e39a9,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-b93562fa1896459c8fb058498da92712,Hair,14886,,cl-EV220
rec-a8b958a23c8a427a94632415c1460d9b,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-b93562fa1896459c8fb058498da92712,Hair,14887,,cl-EV221
rec-1ed7226915544604a689634564f7ffd8,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-b93562fa1896459c8fb058498da92712,Tissue,14888,,cl-EV222
rec-a88b20c46c424a0f85e3318c9dba5213,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-b93562fa1896459c8fb058498da92712,Tooth,14889,,cl-EV223
